"university","group","homepage","missionpage","simplemission","mission","department"
"Southampton Solent University",,"http://www.solent.ac.uk/home.aspx","http://www.solent.ac.uk/about-us/the-university/mission.aspx",,"The pursuit of inclusive and flexible forms of Higher Education which meet the needs of employers and prepare students to succeed in a fast-changing competitive world.'",
"Staffordshire University",,"http://www.staffs.ac.uk/","http://www.staffs.ac.uk/about/plan/values/",,"We are a values-led organisation and will operate as a responsible and sustainable business. Our values will underpin what we decide to do in implementing this Plan and in our ways of working. Partnership for us means working with others with diligence, application, openness, transparency, integrity, honesty, professionalism, in collaboration, and with a commitment to intercultural dialogue and freedom of areas of inquiry.Being innovative, enterprising and entrepreneurial for us means encouraging creativity and taking balanced risks. It requires a supportive environment for the development of ideas and new business. It requires a commitment to evidence-based work, taking opportunities as they arise, agility, supporting creativity and being effective and efficient.Being people focused for us means respecting and valuing everyones contribution to our University community. We have a long-standing commitment to equality, diversity, social inclusion and mobility. We see these are central to our success in building an inclusive and welcoming environment for all. We are a people organisation and it is we, the staff, who will make the difference and deliver this Plan.Our commitment to excellence demands that, through continuous improvement and transformative change, we strive for the highest standards and levels of achievement both academically and as a business, seeking to be enterprising and responsible, and at the forefront of the sector.",
"University of Stirling, Bridge of Allan",,"http://www.stir.ac.uk/","http://www.stir.ac.uk/about/our-strategy/",,"To be a University of distinction that is ambitious, accessible and self-reliant, and whose purpose is to develop these qualities in our students, staff and the communities we serve.",
"University of Strathclyde, Glasgow",,"http://www.strath.ac.uk/","http://www.strath.ac.uk/about/focus/mission/",,"The University was established in 1796 as 'the place of useful learning' and this remains our mission today: to combine academic excellence with social and economic relevance.As 'the place of useful learning' the University is committed to the advancement of society through the pursuit of excellence in research, education and knowledge exchange, and through creative engagement with partner organisations at local, national and international levels.",
"University of Sunderland",,"http://www.sunderland.ac.uk/","http://www.sunderland.ac.uk/university/factsandfigures/visionandvalues/",,"To be recognised as one of a new generation of great civic universities - innovative, accessible, inspirational and outward looking; with international reach and remarkable local impact",
"University of Surrey, Guildford",,"http://www.surrey.ac.uk/","http://www.surrey.ac.uk/hcmp/about/",,"To deliver expertise in our key topic areas and respond as a coherent group, demonstrating success by delivering research that is:Evidence-based, outcome-focused and rational, both economically and socially.Reflective of current/future needs, rather than historic patterns, and better informed than at present.Addresses major health conditions and gains better outcomes.Offers a better understanding of how to tackle the constraints to innovation and development in healthcare.Embedded into practice in health care.","Department of Health Care Management & Policy"
"University of Sussex, Falmer and Brighton",,"http://www.sussex.ac.uk/",,,,
"Swansea Metropolitan University",,"http://www.smu.ac.uk/","http://www.swansea.ac.uk/media/media,40519,en.pdf",,"VISION:TO BE A RESEARCH-LED UNIVERSITY OF INTERNATIONAL QUALITY",
"Swansea University",,"http://www.swansea.ac.uk/","http://www.swansea.ac.uk/the-university/world-class/vision/",,"Swansea University has a clear vision to be a research-led university of international quality.",
"Teesside University, Middlesbrough and Darlington",,"http://www.tees.ac.uk/","http://www.tees.ac.uk/sections/about/mission.cfm","Providing Opportunities, Driving Enterprise, Delivering Excellence.Working in partnership to enable individuals and organisations to achieve their potential through high quality learning, research and knowledge transfer","To achieve regional, national and international recognition as the UKs leading University for working with business and to be among the UKs top institutions of higher education in relation to:being a vibrant and effective learning community with students at the heart of everything we do.enhancing academic and professional standards and producing highly employable graduates for the benefit of both individuals and organisations.contributing effectively to the economic, social and cultural success of the communities we serve demonstrating a real and continuing commitment to social inclusion.",
"University of Ulster, Coleraine, Jordanstown, Magee and Belfast",,"http://www.ulster.ac.uk/","http://www.ulster.ac.uk/academicoffice/download/Handbooks/PAMR.pdf",,"The Universitys Vision is to lead in the provision of Professional Education for Professional Life, in a context which envisages the University focusing and deepening its contribution to the economic, social and cultural development of Northern Ireland and its global standing.",
"University of Wales",,,,,,
"University of Wales, Newport",,"http://www.southwales.ac.uk/","http://www.southwales.ac.uk/about/vision-and-mission/",,"Transforming lives, economies and communities through accessible, distinctive and responsive education, innovation and engagement.",
"University of Wales, Trinity Saint David",,"http://www.trinitysaintdavid.ac.uk/en/","http://www.trinitysaintdavid.ac.uk/en/media/uniweb/content/documents/departments/qualityassuranceunit/academicqualityhandbook/Chapter_01_Mission_and_Vision_Pages_1-5.pdf",,"The Universitys mission statement is: Excellence in Education  delivered with distinction in Wales for the benefit of the wider world.",
"University of Warwick, Coventry","russell","http://www2.warwick.ac.uk/","http://www2.warwick.ac.uk/about/profile/",,"To be a world leader in research and teaching:Through research of international excellence, to increase significantly the range of human knowledge and understanding,To produce graduates who are global citizens, equipped to make an important contribution to the economy and to society in our inter-connected world,To serve our local region  academically, culturally and economically,To continue to make a Warwick education available to all those able to benefit from it, regardless of economic or social circumstances",
"University of West London, Ealing and Brentford",,"http://www.uwl.ac.uk/","http://www.uwl.ac.uk/about-us/how-university-works/strategic-plan",,"To raise aspiration through the pursuit of excellence.",
"London College of Music",,"http://www.uwl.ac.uk/academic-schools/music",,,,
"University of Westminster, London",,"http://www.westminster.ac.uk/","http://www.westminster.ac.uk/about-us/our-university/vision-mission-and-values",,"We will shape the future of professional life by:being a diverse, vibrant and inspirational learning environment,establishing the University of Westminster as the leading practice-informed teaching and research university,being a responsive, metropolitan and cosmopolitan university serving the needs of diverse communities,embedding internationalisation, employability and green-thinking in all that we do",
"University of the West of England",,"http://www.uwe.ac.uk/","http://www1.uwe.ac.uk/aboutus/visionandmission",,"Advancing knowledge, inspiring people and transforming futures is at the heart of everything that we do.",
"University of the West of Scotland",,"http://www.uws.ac.uk/home/","http://www.uws.ac.uk/about-uws/overview/missions-and-strategies/",,"Provide distinctive higher education through inspirational teaching and learning. We'll respond to individual needs and those of the communities we serve to transform people, communities and organisations, becoming a partner of choice across the West of Scotland, nationally and internationally.",
"University of Winchester",,"http://winchester.ac.uk/","http://winchester.ac.uk/aboutus/missionandvalues/Pages/MissionandValues.aspx",,"To educate, to advance knowledge and to serve the public good'",
"University of Wolverhampton",,"http://www.wlv.ac.uk/","http://www.wlv.ac.uk/default.aspx?page=21423",,"To be an employer-focused university connected with our local, national and global communities delivering opportunity and academic excellence.",
"University of Worcester",,"http://www.worcester.ac.uk/","http://www.worcester.ac.uk/documents/university-worcester-strat-plan-2013-18.pdf",,"AN OUTSTANDING UNIVERSITY AT WHICH TO BE A STUDENT AND OF WHICH TO BE A GRADUATE",
"Worcester Business School",,"http://www.worcester.ac.uk/discover/worcester-business-school.html","http://www.worcester.ac.uk/cgi-bin/unisearch/solr_web.pl#searchArea",,"Worcester Business School's mission is to develop highly informed, innovative and inspirational leaders",
"University of York","russell","http://www.york.ac.uk/","http://www.york.ac.uk/about/mission-strategies/",,"Our vision is to make the University of York a world leader:in the creation of knowledge through fundamental and applied research,the sharing of knowledge by teaching students from varied backgrounds,the application of knowledge for the health, prosperity and well-being of people and society.",
"York St John University",,"http://www.yorksj.ac.uk/","http://www.yorksj.ac.uk/about/our-strategy/our-mission.aspx",,"York St John is committed to the provision of excellent, open and progressive higher education that embraces difference, challenges prejudice and promotes justice, and is shaped by York St Johns Church foundation. Building on this foundation, it aims to:Provide widely-accessible opportunities for lifelong learning, underpinned by scholarship and research.Extend and deepen the Universitys external contribution regionally, nationally and globally.Foster a supportive, creative, critical and reflective community which promotes personal and professional development for both students and staff.",
